N,P,K,temperature,humidity,ph,rainfall,label
98.37,31.0,41.0,20.68,72.09,6.85,182.75,wheat
65.22,46.88,31.19,20.62,65.16,5.55,71.81,wheat
98.99,51.8,38.82,25.07,74.28,5.51,168.93,wheat
101.89,43.61,36.22,29.49,60.1,5.69,55.47,wheat
110.85,54.15,62.29,26.76,66.09,7.45,100.57,wheat
93.12,63.18,54.74,28.34,67.32,6.91,47.33,rice
73.67,41.58,33.19,20.79,53.03,6.06,141.71,rice
81.89,44.81,38.38,21.2,78.1,6.8,137.46,rice
70.27,59.17,36.54,22.55,79.69,6.78,129.11,rice
101.08,63.71,61.04,20.75,50.96,6.13,82.84,rice
72.66,67.72,65.05,21.78,69.66,6.29,186.33,maize
87.53,40.6,39.87,24.74,57.88,6.67,183.65,maize
83.96,38.77,69.9,24.11,52.73,5.59,57.54,maize
97.65,61.68,46.89,18.76,61.45,7.49,124.66,maize
118.26,64.43,30.46,26.65,70.45,6.57,82.69,maize
98.46,34.46,47.39,23.44,78.61,7.25,82.14,barley
90.04,37.15,66.51,28.45,58.95,6.78,137.44,barley
69.17,60.5,51.58,27.34,65.91,5.5,91.86,barley
61.17,67.16,65.15,27.98,59.23,5.62,180.48,barley
116.82,33.43,49.44,18.83,72.82,7.03,60.54,barley
88.52,51.99,40.6,28.47,62.69,5.92,126.29,sorghum
103.8,38.05,42.47,29.94,69.5,6.38,122.81,sorghum
67.26,38.99,43.52,25.06,56.9,5.94,51.36,sorghum
97.87,39.16,66.22,28.32,52.13,5.98,147.04,sorghum
72.85,35.29,67.42,24.85,64.18,7.07,169.2,sorghum
71.42,33.88,47.24,23.08,64.01,6.96,147.74,millet
119.05,33.94,46.1,22.07,75.85,6.0,70.43,millet
86.92,46.88,41.14,21.0,77.7,6.39,177.82,millet
93.02,32.02,69.97,28.03,79.07,7.35,175.79,millet
69.98,49.43,38.55,22.81,51.76,6.26,197.65,millet
75.91,61.36,48.2,23.08,78.72,7.49,128.92,bajra
103.1,36.19,41.87,29.62,67.38,6.58,159.68,bajra
63.43,53.37,50.11,28.23,54.72,7.42,52.82,bajra
71.15,53.8,57.01,20.82,53.6,7.28,79.39,bajra
95.67,54.78,46.77,25.0,65.68,7.37,72.68,bajra
102.97,39.55,45.83,26.06,59.0,6.13,160.3,ragi
64.35,48.33,69.94,29.95,52.2,5.93,82.43,ragi
116.0,65.23,65.17,22.43,54.73,7.17,152.57,ragi
96.7,69.49,56.16,18.09,74.51,6.1,146.14,ragi
116.34,35.37,34.62,19.28,66.6,6.04,136.77,ragi
103.06,38.14,55.37,21.17,64.66,7.31,175.38,oats
65.54,46.94,41.07,18.04,73.13,6.77,81.91,oats
104.47,52.07,47.11,18.12,52.26,7.27,184.63,oats
92.74,63.38,53.3,19.78,53.82,6.12,183.84,oats
107.77,64.43,65.96,20.52,57.49,5.71,164.82,oats
113.05,46.26,54.83,19.85,77.9,7.23,196.19,rye
108.65,65.26,30.99,26.84,59.97,7.36,168.36,rye
111.84,62.43,40.67,27.45,53.24,7.24,177.37,rye
73.35,62.66,48.41,21.66,73.86,5.96,43.79,rye
71.59,43.13,64.57,29.6,58.37,6.78,103.95,rye
59.25,41.45,57.57,21.15,69.11,6.27,116.63,lentil
30.62,24.34,37.38,27.29,49.41,6.91,76.03,lentil
35.41,43.06,30.19,27.09,40.05,7.39,78.46,lentil
48.78,49.68,46.83,23.64,42.1,7.0,59.72,lentil
32.56,53.92,48.79,23.0,49.28,6.61,66.22,lentil
31.83,25.09,36.82,29.4,60.32,7.35,85.4,chickpea
32.04,41.92,20.02,22.87,52.9,6.87,88.92,chickpea
38.6,37.69,28.55,24.73,67.04,7.19,45.27,chickpea
23.39,40.62,45.32,23.35,64.55,7.13,90.55,chickpea
28.99,27.97,20.98,22.45,54.25,7.27,36.55,chickpea
36.58,45.19,27.78,26.96,54.83,6.37,89.05,pigeonpea
20.22,50.04,50.8,21.07,52.75,6.26,116.22,pigeonpea
40.72,22.01,29.97,28.48,53.69,7.2,90.08,pigeonpea
59.52,43.82,58.0,28.91,58.38,7.08,75.43,pigeonpea
53.22,41.91,55.89,27.44,54.24,6.39,52.25,pigeonpea
45.51,50.63,40.85,26.27,48.24,6.12,55.72,blackgram
30.87,32.79,41.61,21.38,46.94,7.04,93.58,blackgram
22.57,36.3,41.7,24.16,46.21,6.63,111.44,blackgram
43.36,47.82,54.27,27.66,51.41,6.01,61.66,blackgram
50.14,54.14,58.14,24.19,62.43,6.82,84.29,blackgram
28.82,28.78,37.43,20.29,50.08,7.02,66.39,mungbean
26.6,38.7,25.11,26.22,40.81,6.59,80.8,mungbean
21.08,45.71,25.43,24.62,41.51,6.57,49.05,mungbean
33.07,50.45,35.17,27.52,64.96,6.38,37.37,mungbean
20.78,41.58,60.0,23.5,59.5,7.17,88.66,mungbean
50.17,57.98,27.97,20.2,44.57,6.19,90.25,cowpea
42.56,28.72,47.98,27.67,45.03,6.91,97.31,cowpea
24.58,52.77,58.59,21.08,40.77,6.47,90.96,cowpea
58.33,35.87,48.6,20.76,60.72,6.94,39.17,cowpea
50.9,54.01,44.02,21.21,69.52,7.17,61.25,cowpea
37.14,34.82,40.24,23.41,65.49,7.23,39.5,lablab
58.43,45.42,53.15,27.07,53.06,7.1,116.89,lablab
30.8,52.33,41.53,24.83,53.07,7.1,54.16,lablab
54.07,53.23,23.47,28.82,47.32,6.7,84.93,lablab
35.16,21.15,54.04,21.82,46.36,7.2,60.63,lablab
