N,P,K,temperature,humidity,ph,rainfall,label
72.38,30.56,65.57,15.51,66.79,6.55,31.74,wheat
90.74,22.62,50.36,15.49,44.54,6.64,54.81,wheat
52.38,35.63,63.92,21.63,68.86,6.6,59.29,wheat
44.66,80.09,40.27,16.01,45.89,6.46,54.48,wheat
58.07,60.71,64.72,17.61,67.39,6.09,31.79,wheat
60.6,67.63,49.93,17.2,69.28,6.68,38.99,wheat
119.44,68.93,37.09,19.02,66.26,7.31,51.88,wheat
68.79,88.61,28.26,17.93,77.86,6.23,44.67,wheat
43.92,66.78,73.52,19.01,83.77,6.47,50.86,wheat
99.44,60.59,51.93,20.88,87.23,6.71,49.92,wheat
46.07,69.1,65.3,21.95,81.1,6.43,41.57,wheat
106.87,21.58,52.32,16.18,45.85,6.09,53.05,wheat
52.93,37.33,47.37,21.1,44.03,6.67,46.48,wheat
128.34,77.35,80.48,16.95,60.76,6.54,56.53,wheat
135.77,30.56,32.34,16.62,51.67,6.73,47.67,wheat
66.27,20.29,49.33,17.58,68.32,7.43,50.71,wheat
91.55,63.23,67.33,15.38,84.98,7.17,56.24,wheat
119.79,47.47,47.93,15.72,71.71,6.09,32.02,wheat
60.88,31.36,43.8,15.37,40.01,6.23,33.04,wheat
76.36,21.79,81.2,19.3,47.43,6.38,40.42,wheat
76.42,28.6,79.43,21.95,63.3,6.73,32.58,wheat
50.22,43.98,38.53,20.8,48.07,6.03,58.53,wheat
92.83,30.26,58.02,15.19,66.41,7.47,55.9,wheat
109.62,38.28,45.67,16.17,78.6,6.8,53.37,wheat
72.97,35.61,76.81,21.89,82.63,7.21,54.55,wheat
113.99,35.87,56.23,17.49,41.45,6.04,38.38,wheat
65.92,68.48,86.96,18.13,86.85,7.48,58.65,wheat
76.46,35.43,35.88,16.38,50.22,6.94,57.01,wheat
124.04,53.56,65.71,20.6,44.24,6.99,57.29,wheat
118.23,72.51,53.46,16.25,79.46,6.5,54.02,wheat
137.17,47.71,48.1,34.31,76.24,5.76,169.06,rice
55.12,83.34,76.46,23.9,81.33,6.97,248.59,rice
75.04,58.41,29.17,22.19,88.54,6.47,228.99,rice
133.36,50.37,81.02,32.74,50.55,5.88,193.94,rice
64.05,61.05,38.16,27.45,46.55,6.87,203.07,rice
85.82,60.83,83.3,27.47,85.89,6.25,229.77,rice
92.35,21.31,50.81,24.38,40.2,6.7,175.85,rice
