N,P,K,temperature,humidity,ph,rainfall,label,season,month,state
78.85,90.59,68.34,28.99,67.19,5.55,135.0,rice,Kharif,9,AP
73.87,63.1,22.64,24.98,74.49,5.95,271.53,rice,Kharif,6,TN
41.4,85.77,84.93,32.5,71.93,5.72,239.98,rice,Kharif,6,WB
97.47,61.22,33.8,34.43,83.48,6.61,277.03,rice,Kharif,8,UP
125.78,48.52,44.14,30.19,67.9,6.58,146.1,rice,Kharif,10,PB
51.85,43.22,39.54,32.03,85.55,6.82,236.48,rice,Kharif,9,TN
96.79,50.0,19.11,21.16,63.42,6.6,195.03,rice,Kharif,8,TN
53.99,85.47,81.41,29.18,85.8,6.63,163.35,rice,Kharif,6,UP
124.07,79.59,21.56,25.61,72.61,6.11,167.79,rice,Kharif,9,AP
61.72,39.17,24.09,29.87,74.06,5.81,199.32,rice,Kharif,8,UP
61.3,74.67,54.28,31.53,80.87,6.23,170.03,rice,Kharif,10,UP
51.32,71.62,40.92,34.52,72.36,5.69,168.87,rice,Kharif,8,AP
52.4,87.67,84.16,31.5,74.0,5.78,269.39,rice,Kharif,6,TN
69.05,73.14,46.09,25.86,81.4,6.3,269.23,rice,Kharif,7,AP
130.27,47.38,77.63,31.67,85.0,6.23,235.29,rice,Kharif,8,PB
140.37,88.31,73.48,26.09,75.78,6.6,199.08,rice,Kharif,7,WB
96.71,94.83,34.33,27.83,87.85,6.66,254.79,rice,Kharif,7,AP
94.51,72.79,64.31,30.4,85.14,7.3,182.03,rice,Kharif,8,PB
76.46,61.87,24.88,20.58,92.73,6.41,182.69,rice,Kharif,6,UP
141.73,58.16,46.94,30.54,70.77,6.06,155.24,rice,Kharif,7,PB
88.29,77.4,62.56,23.72,88.16,6.98,232.96,rice,Kharif,7,WB
82.68,37.89,43.19,28.93,80.43,6.26,161.42,rice,Kharif,8,TN
43.98,73.41,25.29,29.72,89.82,6.34,203.36,rice,Kharif,6,UP
72.94,82.74,23.17,33.81,73.94,5.51,248.91,rice,Kharif,9,PB
122.83,74.72,87.3,27.76,74.34,6.85,195.89,rice,Kharif,9,TN
134.3,47.63,23.73,32.54,73.56,5.78,280.37,rice,Kharif,10,PB
96.8,79.75,73.87,33.47,69.12,6.51,154.3,rice,Kharif,8,TN
123.21,66.56,24.63,23.57,94.09,6.23,204.0,rice,Kharif,7,PB
57.48,57.57,23.26,28.23,62.07,5.51,164.2,rice,Kharif,6,PB
138.61,21.24,84.03,22.6,88.77,6.58,308.54,rice,Kharif,7,UP
84.9,67.83,53.64,34.89,65.66,5.65,302.89,rice,Kharif,9,UP
38.72,84.61,91.49,29.1,83.9,6.2,267.38,rice,Kharif,6,UP
126.47,26.92,61.05,26.87,90.03,6.82,290.91,rice,Kharif,6,PB
136.04,82.32,31.69,25.56,72.06,7.0,233.44,rice,Kharif,8,UP
86.93,72.99,63.86,34.4,77.5,6.27,264.19,rice,Kharif,8,PB
90.97,76.48,44.1,29.26,84.49,5.68,242.42,rice,Kharif,10,WB
97.83,38.76,29.05,23.24,74.37,5.66,166.36,rice,Kharif,8,PB
41.71,29.61,33.51,27.25,67.32,5.54,221.26,rice,Kharif,7,PB
124.62,79.55,36.15,25.13,83.28,6.18,186.19,rice,Kharif,6,PB
124.58,52.79,50.14,22.42,72.94,6.64,195.19,rice,Kharif,7,TN
116.98,52.22,33.06,27.02,73.93,6.81,215.03,rice,Kharif,10,UP
64.36,27.32,26.55,25.6,68.87,5.73,183.69,rice,Kharif,6,PB
147.16,87.06,81.86,24.21,67.58,6.3,292.2,rice,Kharif,10,AP
50.54,25.43,62.98,24.46,78.38,5.93,216.4,rice,Kharif,6,UP
66.31,68.06,75.66,32.11,76.43,6.14,196.39,rice,Kharif,8,UP
59.31,36.3,74.98,27.59,75.05,5.66,278.06,rice,Kharif,8,UP
110.34,56.34,37.08,34.55,71.97,6.24,291.06,rice,Kharif,9,UP
99.58,82.86,72.81,24.69,73.79,6.08,256.49,rice,Kharif,9,TN
55.88,83.15,35.85,28.68,80.04,5.78,173.8,rice,Kharif,9,AP
